name,category,instructions,glass,alcohol,Ingrediants
Tequila Mockingbird,Tequila,Rim one half of a chilled cocktail glass with lime and salt. Muddle ginger in mixing glass. Add remaining ingredients with ice and shake. Strain into glass. Garnish with lime wheel.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': 'For glass Lime wedge', 'Ingrediant 2': ' 1/4 oz coarse salt', 'Ingrediant 3': ' 1 3/4 oz  Minced ginger', 'Ingrediant 4': ' 1 1/2 oz  Blanco tequila', 'Ingrediant 5': ' 1 oz  Agave nectar', 'Ingrediant 6': '  Fresh Lime Juice', 'Ingrediant 7': '  Lime wheel'}"
Tequila Matador,Tequila,Shake with ice and strain into chilled champagne flute.,Champagne Flute,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Blanco tequila', 'Ingrediant 2': ' 2 oz  Pineapple Juice', 'Ingrediant 3': ' 1/2 oz  Fresh Lime Juice'}"
Tequila Manhattan,Tequila,Shake with ice and strain into ice-filled old-fashioned glass. Add cherry.,Old-Fashioned Glass,Alcoholic,"{'Ingrediant 1': '2 oz Blanco tequila', 'Ingrediant 2': ' 1 oz  Sweet Vermouth', 'Ingrediant 3': ' 1 oz  Angostura Bitters', 'Ingrediant 4': '  Maraschino cherry'}"
T.N.T. Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Old Thompson Blended Whiskey', 'Ingrediant 2': ' 1 1/2 oz  Absinthe Substitute'}"
Thunderclap Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '3/4 oz Old Mr. Boston Dry Gin', 'Ingrediant 2': ' 3/4 oz  Old Thompson Blended Whiskey', 'Ingrediant 3': ' 3/4 oz  Old Mr. Boston Five Star Brandy'}"
Thunder Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 oz Powdered Sugar', 'Ingrediant 2': ' 1 oz  Egg Yolk', 'Ingrediant 3': ' 1 1/2 oz  Old Mr. Boston Five Star Brandy', 'Ingrediant 4': ' 1 oz  Cayenne Pepper'}"
Tequila Collins,Tequila,"Shake first three ingredients with ice and strain into chilled Collins glass. Add several ice cubes, fill with soda water, and stir. Garnish with lemon, orange, and cherry. Serve with straw.",Collins Glass,Alcoholic,"{'Ingrediant 1': '2 oz Blanco tequila', 'Ingrediant 2': ' 1/2 oz  Fresh lemon juice', 'Ingrediant 3': ' 1/2 oz  Simple Syrup', 'Ingrediant 4': '  Soda water lemon wheel', 'Ingrediant 5': ' orange wheel', 'Ingrediant 6': ' maraschino cherry'}"
White Lady Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 oz Egg White', 'Ingrediant 2': ' 1 oz  Powdered Sugar', 'Ingrediant 3': ' 1 oz  Sweet Cream', 'Ingrediant 4': ' 1 1/2 oz  Old Mr. Boston Dry Gin'}"
Tequila Canyon,Tequila,Pour into Collins glass and stir. Add ice. Garnish with lime. Serve with straw.,Collins Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Blanco tequila', 'Ingrediant 2': ' 1/4 oz  Triple Sec', 'Ingrediant 3': ' 1 oz  Cranberry Juice', 'Ingrediant 4': ' 1 oz  Pineapple Juice', 'Ingrediant 5': ' 1 oz  Orange juice', 'Ingrediant 6': '  Lime wheel'}"
Chicago Cocktail,Brandy,Rim chilled old-fashioned glass with lemon and sugar. Stir remaining ingredients with ice and strain into glass.,Old-Fashioned Glass,Alcoholic,"{'Ingrediant 1': 'For glass Lemon wedge', 'Ingrediant 2': ' 1 oz superfine sugar', 'Ingrediant 3': ' 1/2 oz  Brandy', 'Ingrediant 4': ' 1/4 oz  Fresh lemon juice', 'Ingrediant 5': ' 1/4 oz  Orange curacao', 'Ingrediant 6': '  Maraschino liqueur'}"
Sunday Confession,Tequila,Pour the first three ingredients into Collins glass and stir briefly. Add ice and top with ginger beer. Add lemon.,Collins Glass,Alcoholic,"{'Ingrediant 1': '1 oz Blanco tequila', 'Ingrediant 2': ' 1 oz  Limoncello', 'Ingrediant 3': ' 1/2 oz  Fresh lemon juice', 'Ingrediant 4': '  Ginger beer  Lemon wedge'}"
Strawberry Margarita,Tequila,"If desired, rim chilled cocktail glass with lime and sugar or salt. Muddle strawberries with schnapps in mixing glass. Add remaining ingredients and shake with ice. Strain through fine wire sieve into glass. Add strawberry.",Cocktail Glass,Alcoholic,"{'Ingrediant 1': 'For glass Lime wedge', 'Ingrediant 2': ' 3 oz superfine sugar or coarse salt (optional)', 'Ingrediant 3': ' 3/4 oz  Fresh strawberries', 'Ingrediant 4': ' 1 1/2 oz cut in half', 'Ingrediant 5': ' 3/4 oz  Strawberry schnapps', 'Ingrediant 6': ' 3/4 oz  Blanco tequila', 'Ingrediant 7': '  Triple Sec', 'Ingrediant 8': '  Fresh Lime Juice', 'Ingrediant 9': ' whole strawberry'}"
Western Rose Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1/2 oz Old Mr. Boston Apricot Flavored Brandy', 'Ingrediant 2': ' 1 oz  Old Mr. Boston Dry Gin', 'Ingrediant 3': ' 1/2 oz  Dry Vermouth', 'Ingrediant 4': ' 1/4 oz  Lemon Juice'}"
Widow'S Kiss Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 oz Old Mr. Boston Five Star Brandy', 'Ingrediant 2': ' 1/2 oz  Yellow Chartreuse', 'Ingrediant 3': ' 1/2 oz  Benedictine', 'Ingrediant 4': ' 1 oz  Peychaud Bitters'}"
Spice Of Life,Tequila,"Muddle 3 cucumber slices, mint leaves, and syrup in mixing glass. Add tequila and lime juice with ice and shake. Double-strain into ice-filled old-fashioned glass. Garnish with cucumber slice and mint sprig.",Old-Fashioned Glass,Alcoholic,"{'Ingrediant 1': '3 oz Cucumber', 'Ingrediant 2': ' 12 Fresh mint leaves', 'Ingrediant 3': ' 3/4 oz  Simple Syrup', 'Ingrediant 4': ' 2 oz  Jalapeno-Infused Tequila', 'Ingrediant 5': ' 3/4 oz  Fresh Lime Juice', 'Ingrediant 6': '  Cucumber slice', 'Ingrediant 7': ' fresh mint sprig'}"
Widow'S Dream Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass. Float one teaspoon of sweet cream on top.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Benedictine', 'Ingrediant 2': ' 1 oz  Whole Egg'}"
Vodka Gypsy Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Old Mr. Boston Vodka', 'Ingrediant 2': ' 3/4 oz  Benedictine', 'Ingrediant 3': ' 1 oz  Angostura Bitters'}"
South Of The Border,Tequila,Shake with ice and strain into chilled sour glass. Garnish with lime.,Cordial or Pony Glass,Alcoholic,"{'Ingrediant 1': '1 oz Blanco tequila', 'Ingrediant 2': ' 3/4 oz  Coffee-flavored brandy', 'Ingrediant 3': ' 1/2 oz  Fresh Lime Juice', 'Ingrediant 4': '  Lime wheel'}"
Vodka Grasshopper Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '3/4 oz Old Mr. Boston Vodka', 'Ingrediant 2': ' 3/4 oz  Old Mr. Boston Green Creme de Menthe', 'Ingrediant 3': ' 3/4 oz  Old Mr. Boston White Creme de Cacao'}"
Violet Fizz Juice,Cocktail Classics,Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water and stir.,Highball Glass,Alcoholic,"{'Ingrediant 1': '1/2 oz Juice of a Lemon', 'Ingrediant 2': ' 1/2 oz  Powdered Sugar', 'Ingrediant 3': ' 1 1/2 oz  Old Mr. Boston Dry Gin', 'Ingrediant 4': ' 1 oz  Creme Yvette'}"
Smoked Margarita,Tequila,Pour Scotch into old-fashioned glass and swirl to coat. Add ice. Shake remaining ingredients with ice and strain into glass. Add lime wedge.,Old-Fashioned Glass,Alcoholic,"{'Ingrediant 1': '1/2 oz Smoky Scotch whisky', 'Ingrediant 2': ' 1 oz such as Islay or Skye', 'Ingrediant 3': ' 1 oz  Reposado tequila', 'Ingrediant 4': ' 1/2 oz  Triple Sec', 'Ingrediant 5': ' 1/2 oz  Fresh lemon juice', 'Ingrediant 6': '  Fresh Lime Juice', 'Ingrediant 7': '  Lime wedge'}"
Sloe Tequila,Shooters,Combine ingredients with 1/2 cup crushed ice in blender on low speed. Pour into old-fashioned glass. Add cucumber twist.,Old-Fashioned Glass,Alcoholic,"{'Ingrediant 1': '1 oz Blanco tequila', 'Ingrediant 2': ' 1/2 oz  Sloe gin', 'Ingrediant 3': ' 1/2 oz  Fresh Lime Juice', 'Ingrediant 4': '  Cucumber peel twist'}"
Queen Elizabeth Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Old Mr. Boston Dry Gin', 'Ingrediant 2': ' 1/2 oz  Dry Vermouth', 'Ingrediant 3': ' 1 1/2 oz  Benedictine'}"
Silk Stockings,Tequila,Shake ingredients with ice and strain into chilled cocktail glass. Top with cinnamon.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Blanco tequila', 'Ingrediant 2': ' 1 oz  White creme de cacao', 'Ingrediant 3': ' 1 1/2 oz  Heavy cream', 'Ingrediant 4': ' 1 oz  Grenadine', 'Ingrediant 5': '  Ground cinnamon'}"
Orchid Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '2 oz Old Mr. Boston Dry Gin', 'Ingrediant 2': ' 1 oz  Egg White', 'Ingrediant 3': ' 1 oz  Creme Yvette'}"
Orange Milk Fizz,Cocktail Classics,Shake with ice and strain into highball glass over two cubes of ice. Fill with carbonated water and stir.,Highball Glass,Alcoholic,"{'Ingrediant 1': '1/2 oz Juice of a Lemon', 'Ingrediant 2': ' 1 oz  Powdered Sugar', 'Ingrediant 3': ' 2 oz  Old Mr. Boston Orange Flavored Gin ', 'Ingrediant 4': ' 2 oz  Milk'}"
Orange Gin Rickey,Cocktail Classics,Pour into highball glass over ice cubes and fill with carbonated water. Add wedge of lime. Stir.,Highball Glass,Alcoholic,"{'Ingrediant 1': '1/2 oz Juice of a Lime', 'Ingrediant 2': ' 2 oz  Old Mr. Boston Orange Flavored Gin '}"
Orange Gin Highball,Cocktail Classics,"Pour into highball glass over ice cubes and fill with ginger ale or carbonated water. Add twist of lemon peel, if desired, and stir.",Highball Glass,Alcoholic,"{'Ingrediant 1': '2 oz Old Mr. Boston Orange Flavored Gin ', 'Ingrediant 2': ' ginger ale', 'Ingrediant 3': ' lemon twist'}"
Orange Gin Fizz,Cocktail Classics,Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water and stir.,Highball Glass,Alcoholic,"{'Ingrediant 1': '1/2 oz Juice of a Lemon', 'Ingrediant 2': ' 1 oz  Powdered Sugar', 'Ingrediant 3': ' 2 oz  Old Mr. Boston Orange Flavored Gin '}"
Orange Gin Collins,Cocktail Classics,"Shake with ice and strain into collins glass. Add several cubes of ice, fill with carbonated water and stir. Decorate with slices of lemon and orange and a cherry. Serve with straws.",Collins Glass,Alcoholic,"{'Ingrediant 1': '1/2 oz Juice of a Lemon', 'Ingrediant 2': ' 2 oz  Old Mr. Boston Orange Flavored Gin '}"
Sidewinder,Tequila,Fill Collins glass 1/2 full with crushed ice. Add all ingredients. Swizzle with barspoon until glass is frosted. Fill to brim with additional ice. Garnish with mint.,Collins Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Reposado tequila', 'Ingrediant 2': ' 1/2 oz  Campari', 'Ingrediant 3': ' 1/2 oz  Vanilla syrup', 'Ingrediant 4': "" 1/2 oz preferably B.A. Reynold's"", 'Ingrediant 5': ' 1/4 oz  Fresh Lime Juice', 'Ingrediant 6': ' 2 oz  Mezcal', 'Ingrediant 7': '  Ginger beer', 'Ingrediant 8': ' 1 oz'}"
Orange Blossom Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 oz Old Mr. Boston Dry Gin', 'Ingrediant 2': ' 1 oz  Orange Juice', 'Ingrediant 3': ' 1/4 oz  Powdered Sugar'}"
Shady Lady,Tequila,Combine all ingredients in ice-filled highball glass and stir. Garnish with lime and melon or cherry.,Highball Glass,Alcoholic,"{'Ingrediant 1': '1 oz Blanco tequila', 'Ingrediant 2': ' 1 oz  Melon liqueur', 'Ingrediant 3': ' 4 oz  Fresh grapefruit juice', 'Ingrediant 4': ' 4 oz  Fresh grapefruit juice', 'Ingrediant 5': '  Lime wedge; honeydew melon wedge or maraschino cherry'}"
Cherry Blossom,Brandy,Rim chilled cocktail glass with brandy and sugar. Shake ingredients with ice and strain into glass. Add cherry.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 oz Cherry-flavored brandy', 'Ingrediant 2': ' 1/2 oz superfine sugar', 'Ingrediant 3': ' 1/2 oz  Brandy', 'Ingrediant 4': ' 1/4 oz  cherry-flavored brandy', 'Ingrediant 5': ' 1/4 oz  Fresh lemon juice', 'Ingrediant 6': '  Triple Sec', 'Ingrediant 7': '  Grenadine', 'Ingrediant 8': ' maraschino cherry'}"
The Sfozando,Tequila,Stir with ice and strain into cocktail glass. Add orange twist.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 oz Mezcal', 'Ingrediant 2': ' 3/4 oz  Rye Whiskey', 'Ingrediant 3': ' 1/2 oz  Dry Vermouth', 'Ingrediant 4': ' 1/2 oz  Benedictine', 'Ingrediant 5': ' 1 oz  Chocolate bitters', 'Ingrediant 6': '  Orange twist'}"
Napoleon Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '2 oz Old Mr. Boston Dry Gin', 'Ingrediant 2': ' 1/2 oz  Curacao', 'Ingrediant 3': ' 1/2 oz  Dubonnet'}"
Moulin Rouge Cocktail,Cocktail Classics,Stir with ice and strain cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Old Mr. Boston Sloe Gin', 'Ingrediant 2': ' 3/4 oz  Sweet Vermouth', 'Ingrediant 3': ' 1 oz  Bitters'}"
Sea Of Cortez,Tequila,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Blanco tequila', 'Ingrediant 2': ' 1 oz  Fresh Lime Juice', 'Ingrediant 3': ' 3/4 oz  Creme de Cassis', 'Ingrediant 4': ' 1/4 oz  Orange curacao'}"
Satin Sheets,Tequila,Shake with ice and strain into chilled cocktail glass. Garnish with lime.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Blanco tequila', 'Ingrediant 2': ' 1/2 oz  Falernum', 'Ingrediant 3': ' 1/2 oz  Simple Syrup', 'Ingrediant 4': ' 3/4 oz  Fresh Lime Juice', 'Ingrediant 5': '  Lime wheel'}"
Santana Sling,Tequila,Pour first four ingredients into ice-filled Collins glass and stir. Add ginger beer and stir again.,Collins Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Reposado tequila', 'Ingrediant 2': ' 1/2 oz  Cherry Heering', 'Ingrediant 3': ' 1/4 oz  Batavia arrack or light rum', 'Ingrediant 4': ' 1/2 oz  Fresh Lime Juice', 'Ingrediant 5': ' 3 oz  Ginger beer'}"
Rosita,Tequila,Stir with ice. Strain into ice-filled old-fashioned glass. Add lemon twist.,Old-Fashioned Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Blanco tequila', 'Ingrediant 2': ' 1/2 oz  Sweet Vermouth', 'Ingrediant 3': ' 1/2 oz  Dry Vermouth', 'Ingrediant 4': ' 1/2 oz  Campari', 'Ingrediant 5': ' 1 oz  Angostura Bitters', 'Ingrediant 6': '  Lemon twist'}"
Mariposa Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 oz Old Mr. Boston Rum', 'Ingrediant 2': ' 1/2 oz  Old Mr. Boston Five Star Brandy', 'Ingrediant 3': ' 1 oz  Lemon Juice', 'Ingrediant 4': ' 1 oz  Orange Juice', 'Ingrediant 5': ' 1 oz  Grenadine'}"
Margarita Cocktail,Cocktail Classics,"Rub rim of cocktail glass with rind of lemon or lime, dip rim in salt. Shake ingredients with ice and strain into the salt-rimmed glass. ",Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Old Mr. Boston Tequila', 'Ingrediant 2': ' 1/2 oz  Old Mr. Boston Triple Sec', 'Ingrediant 3': ' 1 oz  Lemon or Lime Juice'}"
The Refuge,Tequila,Shake with ice. Strain into chilled cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Blanco tequila', 'Ingrediant 2': ' 1/2 oz  Aperol', 'Ingrediant 3': ' 1/4 oz  Fresh Lime Juice', 'Ingrediant 4': ' 1/4 oz  Grapefruit Juice', 'Ingrediant 5': ' 1/4 oz  Agave nectar'}"
Manhattan Cocktail (Dry),Cocktail Classics,Stir with ice and strain into cocktail glass. Serve with an olive.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '3/4 oz Dry Vermouth', 'Ingrediant 2': ' 1 1/2 oz  Old Thompson Blended Whiskey'}"
Mamie Taylor,Cocktail Classics,Fill collins glass with ginger ale and ice. Stir.,Collins Glass,Alcoholic,"{'Ingrediant 1': '1/2 oz Juice of a Lime', 'Ingrediant 2': ' 2 oz  Desmond & Duff Scotch Whisky'}"
Quetzalcoatl,Tequila,Shake with ice and strain into cocktail glass. Add grapefruit twist.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 oz Blanco tequila', 'Ingrediant 2': ' 3/4 oz  Mezcal', 'Ingrediant 3': ' 1/2 oz  Creme de peche', 'Ingrediant 4': ' 1/2 oz  Guava puree', 'Ingrediant 5': ' 1/2 oz  Grapefruit Juice', 'Ingrediant 6': '  Grapefruit twist'}"
Zero Mint,Cocktail Classics,For each serving chill 2 oz. Old Mr. Boston Creme de Menthe (Green) mixed with 1 oz. water in freezer compartment of refrigerator for 2 hours or longer if desired. (Does not have to be frozen solid.) Serve in cocktail glasses.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': ' 2 oz Mr. Boston Creme de menthe', 'Ingrediant 2': ' water'}"
Purple Pancho,Tequila,Rim chilled cocktail or margarita glass with lime wedge and sugar. Shake remaining ingredients with ice and pour with ice into glass. Garnish with lime wheel.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': 'For glass Lime wedge', 'Ingrediant 2': ' 1 oz superfine sugar', 'Ingrediant 3': ' 1/2 oz  Blanco tequila', 'Ingrediant 4': ' 1/2 oz  Blue curacao', 'Ingrediant 5': ' 2 oz  Sloe gin', 'Ingrediant 6': ' 1 oz  Fresh Lime Juice', 'Ingrediant 7': '  each Fresh lemon juice', 'Ingrediant 8': ' simple syrup', 'Ingrediant 9': ' 1 lime wheel'}"
Midnight Express,Rum - Daiquiris,Shake with ice and pour into ice-filled old-fashioned glass.,Old-Fashioned Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Dark rum', 'Ingrediant 2': ' 1/2 oz  Triple Sec', 'Ingrediant 3': ' 3/4 oz  Fresh Lime Juice', 'Ingrediant 4': ' 1/4 oz  Fresh lemon juice', 'Ingrediant 5': ' 1/4 oz  Simple Syrup'}"
London Special Cocktail,Cocktail Classics,Put a large twist of orange peel into champagne glass. Add 1 lump sugar and 2 dashes bitters. Fill with well-chilled champagne and stir.,Champagne Flute,Alcoholic,"{'Ingrediant 1': '2 dashes orange peel', 'Ingrediant 2': ' champagne lump sugar', 'Ingrediant 3': ' bitters'}"
Mary Pickford Cocktail,Rum - Daiquiris,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Light Rum', 'Ingrediant 2': ' 3/4 oz  Pineapple Juice', 'Ingrediant 3': ' 1/4 oz  Maraschino liqueur', 'Ingrediant 4': ' 1/4 oz  Grenadine'}"
Charles Cocktail,Brandy,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Brandy', 'Ingrediant 2': ' 1 1/2 oz  Sweet Vermouth', 'Ingrediant 3': ' 1 oz  Angostura Bitters'}"
Martinique Rose,Rum - Daiquiris,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '2 oz Aged rhum agricole', 'Ingrediant 2': ' 1/2 oz  Amaretto', 'Ingrediant 3': ' 3/4 oz  Fresh Lime Juice', 'Ingrediant 4': ' 3/4 oz  Grapefruit Juice', 'Ingrediant 5': ' 1/2 oz  orgeat or almond syrup'}"
Mariposa,Rum - Daiquiris,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 oz Light Rum', 'Ingrediant 2': ' 1/2 oz  Brandy', 'Ingrediant 3': ' 1/2 oz  Fresh lemon juice', 'Ingrediant 4': ' 1/2 oz  Orange juice', 'Ingrediant 5': ' 1 oz  Grenadine'}"
Mandeville,Rum - Daiquiris,Shake first five ingredients with ice and strain into ice-filled old fashioned glass. Top with cola.,Old-Fashioned Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Light Rum', 'Ingrediant 2': ' 1 oz  Dark rum', 'Ingrediant 3': ' 1/2 oz  Fresh lemon juice', 'Ingrediant 4': ' 1 oz  Anisette', 'Ingrediant 5': ' 1 oz  Grenadine', 'Ingrediant 6': '  Cola'}"
K.C.B. Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass. Add twist of lemon peel.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1/2 oz Old Mr. Boston Kummel', 'Ingrediant 2': ' 1 1/2 oz  Old Mr. Boston Dry Gin', 'Ingrediant 3': ' 1/4 oz  Old Mr. Boston Apricot Flavored Brandy', 'Ingrediant 4': ' 1/4 oz  Lemon Juice'}"
Malmaison,Rum - Daiquiris,Rim chilled cocktail glass with anisette. Shake remaining ingredients with ice. Strain into glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 oz Anisette', 'Ingrediant 2': ' 1/2 oz  Light Rum', 'Ingrediant 3': ' 1 oz  Cream sherry', 'Ingrediant 4': '  Fresh lemon juice'}"
Mai-Tai (Trader Vic Version),Rum - Daiquiris,"Shake ingredients without ice. Strain into ice-filled old-fashioned glass. Garnish with lime shell, mint, and skewered pineapple and cherry.",Old-Fashioned Glass,Alcoholic,"{'Ingrediant 1': '2 oz Dark rum', 'Ingrediant 2': ' 1/2 oz preferably Jamaican', 'Ingrediant 3': ' 1 oz  Orange curacao', 'Ingrediant 4': ' 1/2 oz  Fresh lime juice (reserve 1/2 lime shell for garnish)', 'Ingrediant 5': ' 1/4 oz  Orgeat Syrup', 'Ingrediant 6': '  Rock candy syrup or simple syrup', 'Ingrediant 7': '  Fresh mint sprig; pineapple wedge skewered with maraschino cherry'}"
Jersey Lightning Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Apple Brandy', 'Ingrediant 2': ' 1/2 oz  Sweet Vermouth', 'Ingrediant 3': ' 1 oz  Juice of a Lime'}"
Lumination,Rum - Daiquiris,Muddle ginger in syrup in mixing glass. Add remaining ingredients and ice and shake. Strain into chilled champagne flute. Add lemon twist.,Champagne Flute,Alcoholic,"{'Ingrediant 1': '2 oz Fresh ginger', 'Ingrediant 2': ' 1 oz  Simple Syrup', 'Ingrediant 3': ' 2 oz  Dark rum', 'Ingrediant 4': ' 1 oz  VS cognac', 'Ingrediant 5': ' 1 oz  each Fresh lemon juice', 'Ingrediant 6': ' Angostura bitters', 'Ingrediant 7': '  Lemon twist'}"
Jamaica Glow Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 oz Old Mr. Boston Dry Gin', 'Ingrediant 2': ' 1 oz  Claret', 'Ingrediant 3': ' 1 oz  Orange Juice', 'Ingrediant 4': ' 1 oz  Jamaica Rum'}"
Lounge Lizard,Rum - Daiquiris,Pour rum and amaretto into ice-filled Collins glass. Fill with cola and stir. Garnish with lime.,Collins Glass,Alcoholic,"{'Ingrediant 1': '1 oz Dark rum', 'Ingrediant 2': ' 1/2 oz  Amaretto', 'Ingrediant 3': '  Lime wedge  Cola'}"
Jack-In-The-Box Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 oz Apple Brandy', 'Ingrediant 2': ' 1 oz  Pineapple Juice', 'Ingrediant 3': ' 1 oz  Bitters'}"
Irish Whisky Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass. Serve with an olive.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1/2 oz Old Mr. Boston Triple Sec', 'Ingrediant 2': ' 1/2 oz  Absinthe Substitute', 'Ingrediant 3': ' 1/4 oz  Maraschino', 'Ingrediant 4': ' 1 oz  Bitters', 'Ingrediant 5': ' 2 oz  Irish Whiskey'}"
Look Out Below,Rum - Daiquiris,Shake with ice and strain into ice-filled old-fashioned glass.,Old-Fashioned Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz 151-Proof Rum', 'Ingrediant 2': ' 1/2 oz  Fresh Lime Juice', 'Ingrediant 3': ' 1/4 oz  Grenadine'}"
Little Princess Cocktail,Rum - Daiquiris,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Light Rum', 'Ingrediant 2': ' 1 1/2 oz  Sweet Vermouth'}"
Little Devil Cocktail,Rum - Daiquiris,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '3/4 oz Light Rum', 'Ingrediant 2': ' 3/4 oz  Gin', 'Ingrediant 3': ' 1/2 oz  Fresh lemon juice', 'Ingrediant 4': ' 1/4 oz  Triple Sec'}"
Champs Elysees Cocktail,Brandy,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 oz Brandy', 'Ingrediant 2': ' 1/2 oz  Yellow Chartreuse', 'Ingrediant 3': ' 1/2 oz  Fresh lemon juice', 'Ingrediant 4': ' 1 oz  Simple Syrup', 'Ingrediant 5': ' 1 oz  Angostura Bitters'}"
Hop Toad Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1/2 oz Juice of a Lime', 'Ingrediant 2': ' 3/4 oz  Old Mr. Boston Apricot Flavored Brandy', 'Ingrediant 3': ' 3/4 oz  Old Mr. Boston Rum'}"
Level Headed Cocktail,Rum - Daiquiris,Shake with ice and strain into snifter.,Brandy Snifter,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Aged rhum agricole', 'Ingrediant 2': ' 1 oz  Cold brewed coffee', 'Ingrediant 3': ' 1/2 oz  Allspice liqueur (pimento dram)', 'Ingrediant 4': ' 1/4 oz  Simple Syrup', 'Ingrediant 5': ' 2 oz  Angostura Bitters'}"
